_unit_id,airline,text
681448310,Virgin America,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
681448312,Virgin America,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
681448314,Virgin America,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
681448317,Virgin America,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
681448319,Virgin America,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
681448320,Virgin America,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
681448321,Virgin America,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
681448322,Virgin America,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
681448324,Virgin America,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
681448326,Virgin America,@VirginAmerica what happened to Doom?!
681448329,Virgin America,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
681448331,Virgin America,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
681448334,Virgin America,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
681448336,Virgin America,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
681448338,Virgin America,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
681448340,Virgin America,@VirginAmerica I۪m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
681448342,Virgin America,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code
681448345,Virgin America,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
681448347,Virgin America,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?
681448349,Virgin America,@VirginAmerica Why is the site down?  When will it be back up?
681448353,Virgin America,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
681448355,Virgin America,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
681448358,Virgin America,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
681448360,Virgin America,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
681448362,Virgin America,@VirginAmerica why is flight 345 redirected?
681448364,Virgin America,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
681448366,Virgin America,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
681448369,Virgin America,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
681448371,Virgin America,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
681448373,Virgin America,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
681448376,Virgin America,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM
681448377,Virgin America,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
681448379,Virgin America,@VirginAmerica check out new music http://t.co/maRcnOCWzn
681448382,Virgin America,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
681448383,Virgin America,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
681448385,Virgin America,"@VirginAmerica - amazing customer  service, again! _�ե_�ե RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
681448387,Virgin America,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
681448389,Virgin America,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
681448391,Virgin America,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
681448393,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
681448395,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
681448397,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
681448400,Virgin America,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
681448402,Virgin America,@VirginAmerica Have a great week _�_�
681448404,Virgin America,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
681448406,Virgin America,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
681448408,Virgin America,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
681448410,Virgin America,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
681448413,Virgin America,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
681448415,Virgin America,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
681448419,Virgin America,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
681448421,Virgin America,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
681448423,Virgin America,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
681448426,Virgin America,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
681448429,Virgin America,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
681448431,Virgin America,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
681448432,Virgin America,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
681448433,Virgin America,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
681448435,Virgin America,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
681448437,Virgin America,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
681448440,Virgin America,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
681448442,Virgin America,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
681448444,Virgin America,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
681448446,Virgin America,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
681448448,Virgin America,@VirginAmerica Another delayed flight? #likingyoulessandless
681448451,Virgin America,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
681448453,Virgin America,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
681448455,Virgin America,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
681448457,Virgin America,@VirginAmerica always!!! Xoxo
681448459,Virgin America,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
681448461,Virgin America,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
681448464,Virgin America,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
681448466,Virgin America,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service _�
681448468,Virgin America,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
681448470,Virgin America,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
681448471,Virgin America,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
681448474,Virgin America,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
681448476,Virgin America,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
681448478,Virgin America,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
681448480,Virgin America,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
681448484,Virgin America,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
681448487,Virgin America,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
681448488,Virgin America,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
681448489,Virgin America,@VirginAmerica is your website ever coming back online?
681448491,Virgin America,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
681448496,Virgin America,@VirginAmerica Is flight 0769 out of LGA to DFW on time?
681448498,Virgin America,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
681448500,Virgin America,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
681448502,Virgin America,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
681448504,Virgin America,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
681448506,Virgin America,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
681448509,Virgin America,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
681448511,Virgin America,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
681448513,Virgin America,@VirginAmerica is the website down?
681448515,Virgin America,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
681448517,Virgin America,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
681448520,Virgin America,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
681448522,Virgin America,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
681448524,Virgin America,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
681448527,Virgin America,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
681448529,Virgin America,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
681448531,Virgin America,@VirginAmerica Lister to my show my on Monday 1230 130
681448533,Virgin America,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
681448535,Virgin America,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
681448538,Virgin America,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
681448540,Virgin America,@VirginAmerica I'd love to know what your policy is for damaged luggage.
681448542,Virgin America,@VirginAmerica Thank you for the follow
681448543,Virgin America,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
681448545,Virgin America,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
681448547,Virgin America,@VirginAmerica @TTINAC11 I DM you
681448551,Virgin America,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas _�_�_
681448553,Virgin America,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
681448555,Virgin America,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
681448558,Virgin America,__ RT @VirginAmerica: You۪ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
681448560,Virgin America,@VirginAmerica Only way to fly! #Elevate #Gold
681448562,Virgin America,@VirginAmerica If only you guys had flights from CMH.
681448564,Virgin America,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
681448566,Virgin America,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
681448568,Virgin America,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
681448570,Virgin America,@VirginAmerica you will match my #AmericanAirlines status? Cool!
681448572,Virgin America,@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy @asarco_ES_ar ? _٪
681448574,Virgin America,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
681448576,Virgin America,@VirginAmerica you suck!
681448578,Virgin America,@VirginAmerica thanks!
681448580,Virgin America,@VirginAmerica Just DM'd. Same issue persisting.
681448583,Virgin America,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
681448585,Virgin America,@VirginAmerica trying to book a flight &amp; your site is down _�
681448587,Virgin America,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
681448589,Virgin America,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
681448591,Virgin America,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
681448594,Virgin America,@VirginAmerica Your website is down and I'm trying to check in!
681448597,Virgin America,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
681448598,Virgin America,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
681448600,Virgin America,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
681448602,Virgin America,@VirginAmerica Keep up the great work :)
681448604,Virgin America,@VirginAmerica my goodness your people @love field are amazing under pressure �_�from Texas #beatstheothers in crisis Please fly me to NY
681448607,Virgin America,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
681448609,Virgin America,@VirginAmerica can you please get me to the new york area before monday afternoon
681448612,Virgin America,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
681448614,Virgin America,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
681448617,Virgin America,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
681448619,Virgin America,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  �
681448621,Virgin America,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
681448623,Virgin America,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
681448625,Virgin America,@VirginAmerica can�۪t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
681448628,Virgin America,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
681448630,Virgin America,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
681448632,Virgin America,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
681448634,Virgin America,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
681448637,Virgin America,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
681448639,Virgin America,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
681448641,Virgin America,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
681448643,Virgin America,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
681448645,Virgin America,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
681448648,Virgin America,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
681448650,Virgin America,"@VirginAmerica it�۪s just a bug report, guys"
681448652,Virgin America,@VirginAmerica hold times at call center are a bit much
681448653,Virgin America,@VirginAmerica Like http://t.co/VPqEm31XUQ
681448654,Virgin America,@VirginAmerica Site down? #help
681448656,Virgin America,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
681448658,Virgin America,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
681448660,Virgin America,@VirginAmerica thanks so much!
681448663,Virgin America,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
681448665,Virgin America,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
681448667,Virgin America,@VirginAmerica Very nicely done. _�ԏ
681448669,Virgin America,@VirginAmerica I�۪m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
681448671,Virgin America,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
681448673,Virgin America,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
681448676,Virgin America,@VirginAmerica hahaha _�@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!_�
681448679,Virgin America,@VirginAmerica sounds like fun !
681448683,Virgin America,@VirginAmerica any updates on flight 413 from Jfk &gt; Lax
681448685,Virgin America,@virginamerica spruce moose!
681448688,Virgin America,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
681448690,Virgin America,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
681448692,Virgin America,"@VirginAmerica classiq, luv Virgin America. Greetingz"
681448694,Virgin America,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
681448696,Virgin America,@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
681448699,Virgin America,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
681448701,Virgin America,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
681448704,Virgin America,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
681448706,Virgin America,@VirginAmerica current bug on website shows select departure city۪ when selecting destination city http://t.co/SLLYIBE2vQ
681448707,Virgin America,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
681448709,Virgin America,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
681448711,Virgin America,"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
681448713,Virgin America,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight_ٍ�#sfo
681448715,Virgin America,"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
681448717,Virgin America,@VirginAmerica any plans to start flying direct from DAL to LAS?
681448720,Virgin America,@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
681448722,Virgin America,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
681448724,Virgin America,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member_�
681448726,Virgin America,@VirginAmerica Grand Budapest Hotel #OscarsCountdown
681448728,Virgin America,@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.
681448730,Virgin America,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
