_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,airline_sentiment,airline_sentiment:confidence,negativereason,negativereason:confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
681448186,FALSE,finalized,3,2/25/15 1:32,positive,1,,,Virgin America,,ItzBrianHunty,,0,,2/24/15 9:42,5.70278E+17,west covina,Pacific Time (US & Canada)
681448188,FALSE,finalized,3,2/25/15 8:46,negative,1,Bad Flight,1,Virgin America,,heatherovieda,,0,,2/24/15 9:39,5.70277E+17,this place called NYC,Eastern Time (US & Canada)
681448190,FALSE,finalized,3,2/25/15 10:24,positive,1,,,Virgin America,,thebrandiray,,0,,2/24/15 9:15,5.70271E+17,Somewhere celebrating life. ,Atlantic Time (Canada)
681448192,FALSE,finalized,3,2/25/15 5:25,positive,1,,,Virgin America,,JNLpierce,,0,,2/24/15 9:04,5.70268E+17,Boston | Waltham,Quito
681448194,FALSE,finalized,3,2/25/15 3:34,negative,0.6705,Can't Tell,0.3614,Virgin America,,MISSGJ,,0,,2/24/15 8:55,5.70266E+17,,
681448197,FALSE,finalized,3,2/25/15 2:26,positive,1,,,Virgin America,,DT_Les,,0,"[40.74804263, -73.99295302]",2/24/15 8:49,5.70264E+17,,
681448199,FALSE,finalized,3,2/25/15 3:26,positive,1,,,Virgin America,,ElvinaBeck,,0,,2/24/15 8:30,5.70259E+17,Los Angeles,Pacific Time (US & Canada)
681448201,FALSE,finalized,3,2/25/15 11:31,neutral,1,,,Virgin America,,rjlynch21086,,0,,2/24/15 8:27,5.70259E+17,"Boston, MA ",Eastern Time (US & Canada)
681448204,FALSE,finalized,3,2/25/15 5:59,negative,1,Customer Service Issue,0.3557,Virgin America,,ayeevickiee,,0,,2/24/15 8:18,5.70257E+17,714,Mountain Time (US & Canada)
681448206,FALSE,finalized,3,2/25/15 5:25,negative,1,Customer Service Issue,1,Virgin America,,Leora13,,0,,2/24/15 7:49,5.70249E+17,,
681448208,FALSE,finalized,3,2/25/15 2:01,negative,1,Can't Tell,0.6614,Virgin America,,meredithjlynn,,0,,2/24/15 7:11,5.7024E+17,,
681448211,FALSE,finalized,3,2/25/15 1:08,neutral,0.6854,,,Virgin America,,AdamSinger,,0,,2/24/15 5:44,5.70218E+17,"San Francisco, CA",Central Time (US & Canada)
681448213,FALSE,finalized,3,2/25/15 9:04,negative,1,Bad Flight,1,Virgin America,,blackjackpro911,,0,"[42.361016, -71.02000488]",2/24/15 5:05,5.70208E+17,"San Mateo, CA & Las Vegas, NV",
681448214,FALSE,finalized,3,2/25/15 9:14,neutral,0.615,,0,Virgin America,,TenantsUpstairs,,0,"[33.94540417, -118.4062472]",2/23/15 23:34,5.70125E+17,Brooklyn,Atlantic Time (Canada)
681448218,FALSE,finalized,3,2/25/15 2:49,negative,1,Flight Booking Problems,1,Virgin America,,jordanpichler,,0,,2/23/15 22:52,5.70114E+17,,Vienna
681448221,FALSE,finalized,3,2/25/15 2:55,neutral,1,,,Virgin America,,JCervantezzz,,0,,2/23/15 21:35,5.70095E+17,"California, San Francisco",Pacific Time (US & Canada)
681448223,FALSE,finalized,3,2/25/15 1:57,negative,1,Customer Service Issue,1,Virgin America,,Cuschoolie1,,0,"[33.94209449, -118.40410103]",2/23/15 21:10,5.70088E+17,Washington DC,Quito
681448225,FALSE,finalized,3,2/25/15 2:53,negative,1,Customer Service Issue,1,Virgin America,,amanduhmccarty,,0,,2/23/15 20:55,5.70085E+17,,Pacific Time (US & Canada)
681448228,FALSE,finalized,3,2/25/15 1:01,positive,1,,,Virgin America,,NorthTxHomeTeam,,0,"[33.2145038, -96.9321504]",2/23/15 20:24,5.70077E+17,Texas,Central Time (US & Canada)
681448230,FALSE,finalized,3,2/25/15 2:14,neutral,0.6207,,,Virgin America,,miaerolinea,,0,,2/23/15 18:46,5.70052E+17,Worldwide,Caracas
681448235,FALSE,finalized,3,2/25/15 1:35,positive,1,,,Virgin America,,Nicsplace,,0,,2/23/15 18:43,5.70051E+17,Central Texas,
681448239,FALSE,finalized,3,2/25/15 6:24,positive,1,,,Virgin America,,Nicsplace,,0,,2/23/15 18:19,5.70045E+17,Central Texas,
681448241,FALSE,finalized,3,2/25/15 5:08,neutral,0.6791,,0,Virgin America,,elisha_malulani,,0,,2/23/15 17:54,5.70039E+17,i'm creating a monster ,Pacific Time (US & Canada)
681448243,FALSE,finalized,3,2/25/15 9:25,negative,1,Customer Service Issue,1,Virgin America,,DannyDouglass,,0,,2/23/15 17:41,5.70036E+17,"San Francisco, CA",Pacific Time (US & Canada)
681448245,FALSE,finalized,3,2/25/15 0:42,positive,0.6639,,,Virgin America,,jamesferrandini,,0,,2/23/15 17:32,5.70034E+17,,
681448247,FALSE,finalized,3,2/25/15 4:58,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,,will_lenzenjr,,0,,2/23/15 17:00,5.70025E+17,Iowa City,Central Time (US & Canada)
681448249,FALSE,finalized,3,2/25/15 6:26,neutral,1,,,Virgin America,,GottAmanda,,0,"[34.0219817, -118.38591198]",2/23/15 16:24,5.70016E+17,Los Angeles,
681448251,FALSE,finalized,3,2/25/15 6:30,neutral,0.6578,,0,Virgin America,,KGervaise,,0,,2/23/15 16:20,5.70015E+17,Georgia,Pacific Time (US & Canada)
681448254,FALSE,finalized,3,2/25/15 8:33,neutral,1,,,Virgin America,,papamurat,,0,,2/23/15 16:13,5.70014E+17,,
681448256,FALSE,finalized,3,2/25/15 5:46,positive,1,,,Virgin America,,arieldaie,,0,,2/23/15 16:08,5.70012E+17,Los Angeles,
681448258,FALSE,finalized,3,2/25/15 5:56,neutral,0.6799,,,Virgin America,,vacations7,,0,,2/23/15 16:04,5.70011E+17,Turks and caicos,
681448260,FALSE,finalized,3,2/25/15 7:50,positive,1,,,Virgin America,,ChelseaPoe666,,0,,2/23/15 16:01,5.70011E+17,Oakland via Midwest ,Atlantic Time (Canada)
681448262,FALSE,finalized,3,2/25/15 6:47,neutral,1,,,Virgin America,,BobGlavinVO,,0,,2/23/15 16:01,5.70011E+17,"New York, NY",Eastern Time (US & Canada)
681448264,FALSE,finalized,3,2/25/15 3:52,neutral,0.6436,,,Virgin America,,lisaaiko,,0,,2/23/15 15:58,5.7001E+17,,
681448265,FALSE,finalized,3,2/25/15 3:23,neutral,0.6764,,0,Virgin America,,grantbrowne,,0,,2/23/15 15:55,5.70009E+17,Worldwide,Central Time (US & Canada)
681448267,FALSE,finalized,3,2/25/15 8:02,positive,0.657,,,Virgin America,,joyabsalon,,0,,2/23/15 15:46,5.70007E+17,Northern Virginia,Eastern Time (US & Canada)
681448269,FALSE,finalized,3,2/25/15 6:54,neutral,1,,,Virgin America,,2v,,0,,2/23/15 15:36,5.70004E+17,Los Angeles / Atlanta,Eastern Time (US & Canada)
681448271,FALSE,finalized,3,2/25/15 6:58,neutral,0.7118,,0,Virgin America,,KSmithFoundHere,,0,,2/23/15 15:24,5.70001E+17,,Atlantic Time (Canada)
681448273,FALSE,finalized,3,2/25/15 7:06,neutral,1,,,Virgin America,,papamurat,,0,,2/23/15 15:19,5.7E+17,,
681448275,FALSE,finalized,3,2/25/15 9:10,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,,murphicus,,0,,2/23/15 15:05,5.69996E+17,"new york, new york",Eastern Time (US & Canada)
681448278,FALSE,finalized,3,2/25/15 2:43,positive,1,,,Virgin America,,VinnieFerra,,0,,2/23/15 15:04,5.69996E+17,"brooklyn, Ny",Pacific Time (US & Canada)
681448280,FALSE,finalized,3,2/25/15 0:33,positive,0.635,,,Virgin America,,KevinDemsi,,0,,2/23/15 14:40,5.6999E+17,"Bali, Republic of Indonesia",Kuala Lumpur
681448282,FALSE,finalized,3,2/25/15 6:57,neutral,0.7007,,,Virgin America,,giffgaffman,,0,,2/23/15 14:40,5.6999E+17,"UK, USA. ",
681448284,FALSE,finalized,3,2/25/15 6:58,neutral,1,,,Virgin America,,HanlonBrothers,,0,,2/23/15 14:37,5.6999E+17,"Gold Coast, Australia",Brisbane
681448288,FALSE,finalized,3,2/25/15 5:38,neutral,1,,,Virgin America,,emilybg78,,0,,2/23/15 14:36,5.69989E+17,"Stockton, CA",Arizona
681448290,FALSE,finalized,3,2/25/15 9:58,negative,1,Customer Service Issue,1,Virgin America,,rachie1126,,0,,2/23/15 14:35,5.69989E+17,"New York, NY",Eastern Time (US & Canada)
681448292,FALSE,finalized,3,2/25/15 8:08,neutral,0.6858,,,Virgin America,,adawson66,,0,"[33.57963333, -117.73024772]",2/23/15 14:30,5.69988E+17,,
681448295,FALSE,finalized,3,2/25/15 7:27,neutral,1,,,Virgin America,,SocialPLC,,0,,2/23/15 14:26,5.69987E+17,"Twin Cities, Minn.",Eastern Time (US & Canada)
681448297,FALSE,finalized,3,2/25/15 5:58,positive,1,,,Virgin America,,jeffreymace01,,0,,2/23/15 14:25,5.69986E+17,,
681448299,FALSE,finalized,3,2/25/15 8:18,neutral,0.6814,,0,Virgin America,,1stcrown,,0,,2/23/15 14:09,5.69982E+17,USA,Central Time (US & Canada)
681448302,FALSE,finalized,3,2/25/15 1:05,negative,1,Customer Service Issue,1,Virgin America,,onerockgypsy,,0,,2/23/15 13:46,5.69977E+17,next city,Pacific Time (US & Canada)
681448303,FALSE,finalized,3,2/25/15 6:08,negative,1,Late Flight,0.6789,Virgin America,,noelduan,,0,,2/23/15 13:35,5.69974E+17,SF ‰ У NY,Eastern Time (US & Canada)
681448306,FALSE,finalized,3,2/25/15 3:41,positive,0.6922,,,Virgin America,,Travelzoo,,0,,2/23/15 13:30,5.69973E+17,"New York, NY",Pacific Time (US & Canada)
681448308,FALSE,finalized,3,2/25/15 3:22,negative,1,Lost Luggage,1,Virgin America,,gianagon,,0,"[40.6413712, -73.78311558]",2/23/15 13:08,5.69967E+17,New York + Panama,Eastern Time (US & Canada)
681448310,FALSE,finalized,3,2/25/15 1:56,neutral,1,,,Virgin America,,bxchen,,0,,2/23/15 12:47,5.69962E+17,"San Francisco, CA",Eastern Time (US & Canada)
681448312,FALSE,finalized,3,2/25/15 7:04,neutral,0.6492,,0,Virgin America,,seimatrun,,0,,2/23/15 12:00,5.6995E+17,Los Angeles,
681448314,FALSE,finalized,3,2/25/15 9:16,neutral,1,,,Virgin America,,jamied7,,0,,2/23/15 11:56,5.69949E+17,"London, England",London
681448317,FALSE,finalized,3,2/25/15 7:27,negative,1,Flight Attendant Complaints,0.3516,Virgin America,,seimatrun,,0,,2/23/15 11:46,5.69946E+17,Los Angeles,
681448319,FALSE,finalized,3,2/25/15 6:39,positive,1,,,Virgin America,,mrmichaellay,,0,"[36.08457854, -115.13780136]",2/23/15 11:32,5.69943E+17,Floridian from Cincinnati ,Eastern Time (US & Canada)
681448320,FALSE,finalized,3,2/25/15 3:09,positive,1,,,Virgin America,,TaylorLumsden,,0,,2/23/15 11:28,5.69942E+17,"Dallas, Texas",Mountain Time (US & Canada)
681448321,FALSE,finalized,3,2/25/15 0:46,neutral,1,,,Virgin America,,campusmoviefest,,0,,2/23/15 11:24,5.69941E+17,USA,Eastern Time (US & Canada)
681448322,FALSE,finalized,3,2/25/15 1:46,neutral,1,,,Virgin America,,TaylorLumsden,,0,,2/23/15 11:22,5.6994E+17,"Dallas, Texas",Mountain Time (US & Canada)
681448324,FALSE,finalized,3,2/25/15 4:43,negative,1,Customer Service Issue,1,Virgin America,,meme_meng,,0,,2/23/15 11:02,5.69935E+17,,
681448326,FALSE,finalized,3,2/25/15 3:07,neutral,1,,,Virgin America,,kyle_romanoff,,0,,2/23/15 10:58,5.69934E+17,,
681448329,FALSE,finalized,3,2/25/15 7:14,negative,1,Customer Service Issue,1,Virgin America,,GunsNDip,,0,,2/23/15 10:56,5.69934E+17,,Pacific Time (US & Canada)
681448331,FALSE,finalized,3,2/25/15 1:04,positive,1,,,Virgin America,,artisticwritr87,,0,,2/23/15 10:56,5.69934E+17,"Seattle, WA",Pacific Time (US & Canada)
681448334,FALSE,finalized,3,2/25/15 4:13,negative,0.6792,Late Flight,0.3477,Virgin America,,arieldaie,,0,,2/23/15 10:54,5.69933E+17,Los Angeles,
681448336,FALSE,finalized,3,2/25/15 9:57,negative,1,Can't Tell,1,Virgin America,,GunsNDip,,0,,2/23/15 10:54,5.69933E+17,,Pacific Time (US & Canada)
681448338,FALSE,finalized,3,2/25/15 2:32,negative,1,Can't Tell,1,Virgin America,,GunsNDip,,0,,2/23/15 10:38,5.69929E+17,,Pacific Time (US & Canada)
681448340,FALSE,finalized,3,2/25/15 6:05,negative,1,Flight Booking Problems,1,Virgin America,,jsatk,,0,"[0.0, 0.0]",2/23/15 10:29,5.69927E+17,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
681448342,FALSE,finalized,3,2/25/15 8:47,neutral,0.6705,,0,Virgin America,,serenaklal,,0,,2/23/15 10:15,5.69923E+17,Chicago,Eastern Time (US & Canada)
681448345,FALSE,finalized,3,2/25/15 4:03,neutral,1,,,Virgin America,,openambit1,,0,,2/23/15 10:09,5.69922E+17,,
681448347,FALSE,finalized,3,2/25/15 8:31,neutral,0.6545,,0,Virgin America,,cabowine,,0,,2/23/15 10:04,5.69921E+17,"Los Cabos,Mexico",Arizona
681448349,FALSE,finalized,3,2/25/15 3:54,negative,1,Can't Tell,0.6513,Virgin America,,MaryAnnTaylorT,,0,,2/23/15 9:57,5.69919E+17,"New York, NY",Arizona
681448353,FALSE,finalized,3,2/25/15 6:57,neutral,1,,,Virgin America,,RamotControl,,0,,2/23/15 9:45,5.69916E+17,,Pacific Time (US & Canada)
681448355,FALSE,finalized,3,2/25/15 7:47,neutral,0.6639,,0,Virgin America,,losermelon,,0,,2/23/15 9:35,5.69913E+17,,
681448358,FALSE,finalized,3,2/25/15 9:47,negative,1,Cancelled Flight,1,Virgin America,,AlisonK33774854,,0,,2/23/15 9:29,5.69912E+17,,
681448360,FALSE,finalized,3,2/25/15 3:30,negative,1,Late Flight,1,Virgin America,,GunsNDip,,0,,2/23/15 9:28,5.69912E+17,,Pacific Time (US & Canada)
681448362,FALSE,finalized,3,2/25/15 7:15,neutral,0.6765,,0,Virgin America,,yazdanagh,,0,,2/23/15 9:26,5.69911E+17,,
681448364,FALSE,finalized,3,2/25/15 3:17,negative,1,Customer Service Issue,0.6863,Virgin America,,MerchEngines,,0,,2/23/15 9:25,5.69911E+17,"Los Angeles, CA",Arizona
681448366,FALSE,finalized,3,2/25/15 9:22,negative,1,Customer Service Issue,0.6771,Virgin America,,ColorCartel,,0,,2/23/15 9:18,5.69909E+17,"Austin, TX",Mountain Time (US & Canada)
681448369,FALSE,finalized,3,2/25/15 2:16,negative,1,Can't Tell,0.659,Virgin America,,MustBeSpoken,,0,,2/23/15 9:11,5.69907E+17,,
681448371,FALSE,finalized,3,2/25/15 8:31,negative,1,Flight Booking Problems,0.6714,Virgin America,,mattbunk,,0,,2/23/15 8:29,5.69897E+17,"Sterling Heights, MI",Eastern Time (US & Canada)
681448373,FALSE,finalized,3,2/25/15 2:32,negative,1,Customer Service Issue,1,Virgin America,,louisjenny,,0,,2/23/15 8:19,5.69894E+17,Washington DC,Quito
681448376,FALSE,finalized,3,2/25/15 0:39,neutral,1,,,Virgin America,,STravelsW,,0,,2/23/15 8:19,5.69894E+17,"Manhattan Beach, CA",
681448377,FALSE,finalized,3,2/25/15 5:39,negative,1,Late Flight,0.6882,Virgin America,,GunsNDip,,0,,2/23/15 8:11,5.69892E+17,,Pacific Time (US & Canada)
681448379,FALSE,finalized,3,2/25/15 3:20,neutral,1,,,Virgin America,,joeyrenagade,,0,,2/23/15 8:08,5.69891E+17,Greater Los Angeles,
681448382,FALSE,finalized,3,2/25/15 7:02,negative,0.6925,Late Flight,0.3521,Virgin America,,mrmichaellay,,0,"[0.0, 0.0]",2/23/15 8:08,5.69891E+17,Floridian from Cincinnati ,Eastern Time (US & Canada)
681448383,FALSE,finalized,3,2/25/15 8:18,negative,1,Late Flight,0.3486,Virgin America,,GunsNDip,,0,,2/23/15 7:51,5.69887E+17,,Pacific Time (US & Canada)
681448385,FALSE,finalized,3,2/25/15 4:16,positive,1,,,Virgin America,,TheDuchessSF,,0,,2/23/15 7:50,5.69887E+17,Online,Pacific Time (US & Canada)
681448387,FALSE,finalized,3,2/25/15 8:50,negative,1,Customer Service Issue,1,Virgin America,,BeLeather,,0,"[0.0, 0.0]",2/23/15 7:40,5.69885E+17,,Pacific Time (US & Canada)
681448389,FALSE,finalized,3,2/25/15 7:55,negative,1,Flight Booking Problems,0.6366,Virgin America,,BeLeather,,0,"[0.0, 0.0]",2/23/15 7:40,5.69884E+17,,Pacific Time (US & Canada)
681448391,FALSE,finalized,3,2/25/15 1:48,neutral,0.6593,,0,Virgin America,,drcaseydrake,,0,"[37.79374402, -122.39327564]",2/23/15 7:28,5.69882E+17,"Dallas, TX",
681448393,FALSE,finalized,3,2/25/15 7:46,positive,0.6823,,0,Virgin America,,flyfromWAS,,0,,2/23/15 6:57,5.69874E+17,"Washington, DC",Eastern Time (US & Canada)
681448395,FALSE,finalized,3,2/25/15 1:49,neutral,1,,,Virgin America,,flyfromSEA,,0,,2/23/15 6:57,5.69874E+17,Seattle,Central Time (US & Canada)
681448397,FALSE,finalized,3,2/25/15 8:17,positive,0.6806,,,Virgin America,,flyfromNYC,,0,,2/23/15 6:57,5.69874E+17,"New York City, NY",Central Time (US & Canada)
681448400,FALSE,finalized,3,2/25/15 2:48,neutral,0.6529,,,Virgin America,,flyfromLAX,,0,,2/23/15 6:57,5.69874E+17,"Los Angeles, CA",Central Time (US & Canada)
681448402,FALSE,finalized,3,2/25/15 9:09,positive,0.678,,,Virgin America,,Silvanabfer,,0,,2/23/15 6:51,5.69872E+17,,
681448404,FALSE,finalized,3,2/25/15 6:27,positive,0.3482,,0,Virgin America,,AdamJdubs,,0,,2/23/15 6:07,5.69861E+17,Earth,Eastern Time (US & Canada)
681448406,FALSE,finalized,3,2/25/15 3:39,negative,1,Late Flight,1,Virgin America,,nicholas_v,,0,"[26.074379, -80.1416831]",2/23/15 5:15,5.69848E+17,,Eastern Time (US & Canada)
681448408,FALSE,finalized,3,2/25/15 9:28,positive,1,,,Virgin America,,tstashajones,,0,,2/23/15 3:01,5.69814E+17,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada)
681448410,FALSE,finalized,3,2/25/15 10:03,positive,1,,,Virgin America,,SkateMamas,,0,,2/23/15 0:35,5.69778E+17,"Los Angeles, CA",
681448413,FALSE,finalized,3,2/25/15 10:02,positive,1,,,Virgin America,,dngoo,,0,,2/23/15 0:21,5.69774E+17,"Near a park, water, or lights",Pacific Time (US & Canada)
681448415,FALSE,finalized,3,2/25/15 6:23,positive,1,,,Virgin America,,SamBrittenham,,0,,2/23/15 0:06,5.6977E+17,USA,Eastern Time (US & Canada)
681448419,FALSE,finalized,3,2/25/15 8:00,negative,0.6832,Customer Service Issue,0.3773,Virgin America,,usagibrian,,0,,2/22/15 22:39,5.69748E+17,San Francisco CA,Pacific Time (US & Canada)
681448421,FALSE,finalized,3,2/25/15 6:40,negative,1,Flight Booking Problems,0.6767,Virgin America,,usagibrian,,0,,2/22/15 22:11,5.69741E+17,San Francisco CA,Pacific Time (US & Canada)
681448423,FALSE,finalized,3,2/25/15 1:27,negative,1,Customer Service Issue,0.6527,Virgin America,,KindofLuke,,0,,2/22/15 21:56,5.69738E+17,,
681448426,FALSE,finalized,3,2/25/15 2:30,positive,1,,,Virgin America,,ptbrodie,,0,,2/22/15 20:23,5.69714E+17,San Francisco,
681448429,FALSE,finalized,3,2/25/15 0:57,positive,1,,,Virgin America,,cheryleng,,0,"[33.9469039, -118.40716847]",2/22/15 17:48,5.69675E+17,,Pacific Time (US & Canada)
681448431,FALSE,finalized,3,2/25/15 4:38,neutral,1,,,Virgin America,,HishamSharaby,,0,,2/22/15 17:45,5.69674E+17,New York,Eastern Time (US & Canada)
681448432,FALSE,finalized,3,2/25/15 2:40,negative,0.6703,Customer Service Issue,0.6703,Virgin America,,ChrisFordisHere,,0,"[51.04345575, -114.06071363]",2/22/15 17:14,5.69666E+17,NYC,Tehran
681448433,FALSE,finalized,3,2/25/15 2:38,positive,1,,,Virgin America,,JKF1897,,0,,2/22/15 16:18,5.69652E+17,,
681448435,FALSE,finalized,3,2/25/15 4:14,neutral,1,,,Virgin America,,F6x,,0,"[40.64662464, -73.77090177]",2/22/15 16:05,5.69649E+17,"San Francisco, CA",Pacific Time (US & Canada)
681448437,FALSE,finalized,3,2/25/15 9:19,neutral,0.6535,,0,Virgin America,,lawyang588,,0,,2/22/15 15:41,5.69643E+17,,
681448440,FALSE,finalized,3,2/25/15 1:27,negative,1,Customer Service Issue,0.6448,Virgin America,,melokudo,,0,,2/22/15 15:40,5.69643E+17,,Eastern Time (US & Canada)
681448442,FALSE,finalized,3,2/25/15 8:45,negative,1,Can't Tell,1,Virgin America,,ChrysiChrysic,,0,,2/22/15 15:06,5.69634E+17,,
681448444,FALSE,finalized,3,2/25/15 7:36,neutral,1,,,Virgin America,,nikkisixxfan93,,0,,2/22/15 15:03,5.69634E+17,"Sacramento,California",Pacific Time (US & Canada)
681448446,FALSE,finalized,3,2/25/15 9:31,negative,1,Cancelled Flight,0.6875,Virgin America,,ChrysiChrysic,,0,,2/22/15 15:02,5.69633E+17,,
681448448,FALSE,finalized,3,2/25/15 1:03,negative,1,Late Flight,1,Virgin America,,MOCBlogger,,0,,2/22/15 14:49,5.6963E+17,San Diego,Alaska
681448451,FALSE,finalized,3,2/25/15 0:50,negative,1,Customer Service Issue,1,Virgin America,,tfaz,,0,,2/22/15 14:39,5.69627E+17,"Oakland, California",Pacific Time (US & Canada)
681448453,FALSE,finalized,3,2/25/15 5:08,positive,1,,,Virgin America,,lisaptv,,1,,2/22/15 14:32,5.69626E+17,,Mountain Time (US & Canada)
681448455,FALSE,finalized,3,2/25/15 1:03,neutral,1,,,Virgin America,,dropapp,,0,,2/22/15 14:31,5.69626E+17,,
681448457,FALSE,finalized,3,2/25/15 9:54,positive,0.7011,,,Virgin America,,HollywoodHotMom,,0,,2/22/15 14:09,5.6962E+17,All Over!,Pacific Time (US & Canada)
681448459,FALSE,finalized,3,2/25/15 9:03,negative,1,Flight Booking Problems,1,Virgin America,,GoShar2012,,0,,2/22/15 14:07,5.6962E+17,"Providence, RI",Eastern Time (US & Canada)
681448461,FALSE,finalized,3,2/25/15 1:55,negative,0.6543,Flight Attendant Complaints,0.3562,Virgin America,,MOCBlogger,,0,,2/22/15 14:03,5.69619E+17,San Diego,Alaska
681448464,FALSE,finalized,3,2/25/15 9:43,positive,1,,,Virgin America,,SkateMamas,,0,,2/22/15 13:55,5.69616E+17,"Los Angeles, CA",
681448466,FALSE,finalized,3,2/25/15 8:47,neutral,0.355,,0,Virgin America,,FiDiFamilies,,0,,2/22/15 13:49,5.69615E+17,New York City ,Eastern Time (US & Canada)
681448468,FALSE,finalized,3,2/25/15 9:19,negative,0.6889,Late Flight,0.6889,Virgin America,,jarrydosborne,,0,,2/22/15 13:47,5.69614E+17,New York,Eastern Time (US & Canada)
681448470,FALSE,finalized,3,2/25/15 6:27,positive,1,,,Virgin America,,HollywoodHotMom,,0,,2/22/15 13:45,5.69614E+17,All Over!,Pacific Time (US & Canada)
681448471,FALSE,finalized,3,2/25/15 5:25,negative,1,Cancelled Flight,1,Virgin America,,mlorenzen,,0,,2/22/15 13:29,5.6961E+17,"iPhone: 29.741360,-90.131523",Pacific Time (US & Canada)
681448474,FALSE,finalized,3,2/25/15 9:39,negative,0.679,Flight Booking Problems,0.3684,Virgin America,,Tyler_Starrine,,0,,2/22/15 13:23,5.69608E+17,Los Angeles,Pacific Time (US & Canada)
681448476,FALSE,finalized,3,2/25/15 6:01,positive,1,,,Virgin America,,jessicajaymes,,2,"[33.94652852, -118.40766257]",2/22/15 12:49,5.696E+17,"hollywood, california",Pacific Time (US & Canada)
681448478,FALSE,finalized,3,2/25/15 1:45,positive,1,,,Virgin America,,livingfitly,,0,,2/22/15 12:35,5.69596E+17,"Washington, DC",Eastern Time (US & Canada)
681448480,FALSE,finalized,3,2/25/15 7:27,negative,1,Damaged Luggage,0.6501,Virgin America,,khartline,,0,,2/22/15 12:34,5.69596E+17,Las Vegas,Pacific Time (US & Canada)
681448484,FALSE,finalized,3,2/25/15 7:37,negative,1,Damaged Luggage,1,Virgin America,,khartline,,0,,2/22/15 12:27,5.69594E+17,Las Vegas,Pacific Time (US & Canada)
681448487,FALSE,finalized,3,2/25/15 2:11,neutral,1,,,Virgin America,,MACRoxburgh,,0,,2/22/15 11:56,5.69587E+17,,Atlantic Time (Canada)
